Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/96927865/clean-title-2007-toyota-land-cruiser-ma-freetown,96927865,"15,425 USD",12/17/2025 06:30 pm GMT+3:30,2007,TOYT,LAND CRUIS,4.7L  8,8,JTEHT05J672******,CERTIFICATE OF TITLE,"206,923 A",ACTUAL,FRONT END,"5,500 USD",0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/96922645/salvage-2014-ford-edge-limited-ny-syracuse,96922645,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,FORD,EDGE LIMIT,3.5L  6,6,2FMDK4KC5EB******,MV-907A SALVAGE CERTIFICATE,"96,653 A",ACTUAL,FRONT END,250 USD,0 USD,36,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/96919285/clean-title-2009-honda-accord-lxp-ma-freetown,96919285,$1 USD,12/17/2025 06:30 pm GMT+3:30,2009,HOND,ACCORD LXP,2.4L  4,4,1HGCP264X9A******,CERTIFICATE OF TITLE,0 E,EXEMPT,BIOHAZARD/CHEMICAL,350 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/96902255/clean-title-2014-honda-odyssey-ex-ny-syracuse,96902255,$1 USD,12/17/2025 06:30 pm GMT+3:30,2014,HOND,ODYSSEY EX,3.5L  6,6,5FNRL5H47EB******,CERTIFICATE OF TITLE,"62,277 A",ACTUAL,NORMAL WEAR,"3,100 USD",0 USD,108,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/96887445/clean-title-2009-toyota-camry-base-ny-long-island,96887445,$1 USD,12/17/2025 06:30 pm GMT+3:30,2009,TOYT,CAMRY BASE,2.4L  4,4,4T1BE46KX9U******,CERTIFICATE OF TITLE,"122,168 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/96848425/clean-title-2017-ford-mustang-nj-trenton,96848425,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,FORD,MUSTANG,2.3L  4,4,1FA6P8TH1H5******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,"2,100 USD",0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/96822895/clean-title-2015-jaguar-xjl-portfolio-ny-albany,96822895,"10,650 USD",12/17/2025 06:30 pm GMT+3:30,2015,JAGU,XJL PORTFO,3.0L  6,6,SAJWJ2GD9F8******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,131,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/96813775/clean-title-2024-mercedes-benz-gle-350-4matic-ma-north-boston,96813775,$1 USD,12/17/2025 06:30 pm GMT+3:30,2024,MERZ,GLE 350 4M,2.0L  4,4,4JGFB4FE0RB******,CERT OF TITLE-LEMON LAW BUYBAC (P),"39,829 A",ACTUAL,MINOR DENT/SCRATCHES,"3,800 USD",0 USD,100,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96812975/clean-title-2020-mercedes-benz-gls-450-4matic-ma-north-boston,96812975,$1 USD,12/17/2025 06:30 pm GMT+3:30,2020,MERZ,GLS 450 4M,3.0L  6,6,4JGFF5KE4LA******,CERTIFICATE OF TITLE (P),"124,020 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,99,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96811865/clean-title-2022-audi-q7-premium-plus-ma-north-boston,96811865,$1 USD,12/17/2025 06:30 pm GMT+3:30,2022,AUDI,Q7 PREMIUM,3.0L  6,6,WA1LXBF74ND******,CERTIFICATE OF TITLE (P),"57,217 A",ACTUAL,MINOR DENT/SCRATCHES,"2,000 USD",0 USD,98,MA - NORTH BOSTON,0,N/A,N/A
